Predicted Labels,Review
CG,Make battery life batter.
CG,product is good n genuine
CG,Best iPhone ever.
CG,Excellent product
CG,Phone is too good
CG,Product is superb
CG,Very good product
CG,Smooth experience
CG,"iphone is iphone,"
CG,Very nice product
CG,Quality product!!
CG,Nice mobile phone
CG,Best phone to buy
CG,Thank you Amazon...loved the phone
CG,All in all a good product
CG,Excellent
CG,Excellent
CG,Very good
CG,Excellent
CG,Excellent
CG,Excellent
CG,Excellent
CG,Excellent
CG,Excellent
CG,Osm phone
CG,It’s good
CG,Good one.
CG,Little bit of big in size
CG,Excellent
CG,Awesome phone and battery backup is good
CG,1
CG,Worth the price
CG,The product is really good
CG,Perfect XR
CG,Nothing dislike about this phone
CG,Fantastic
CG,best
CG,Ok
CG,Battery life isn't great
CG,Battery life isn't great
CG,Really good battery life
CG,iPhone never disappoints
CG,The phone is perfect....
CG,Just like i wanted it 😊
CG,The best phone ever used
CG,Everything at  it’s best
CG,Face ID is great
CG,Apple is awesome
CG,Its really good.
CG,Awesome loved it
CG,i like the phone
CG,Good performance
CG,Just Awesome!!!!
CG,Excellent phone.
CG,Camera very good
CG,Excellent mobile
CG,Good one
CG,good one
CG,Good one
CG,Good one
CG,Worth it
CG,Good one
CG,Good one
CG,Nice one
CG,it is d best till now
CG,Good
CG,Good
CG,The phone is really good
CG,Great!!
CG,osm iphone and tnq Amazon ☺️☺️
CG,Perfect!
CG,Very good
CG,Awesome product
CG,nothing special
CG,Good one
CG,Camera quality is good.
CG,good product tnq amazon
CG,The best choice ever!!!
CG,Ear phone not working .
CG,Face reading is awesome
CG,Face reader is too fast
CG,Excellent I love iPhone
CG,I am enjoying it!! 👍🏻
CG,God’s proud from iPhone
CG,Awesome Product love it
CG,More then u can imagine
CG,Overall nice experience
CG,It’s good phone
CG,Great product🔥
CG,Great product🔥
CG,value for money
CG,Iphone thats it
CG,Worth the money
CG,Very nice phone
CG,Value for money
CG,Excellent phone
CG,VERY NICE PHONE
CG,Overall is good
CG,Value for Money
CG,Very good phone
CG,Value for money
CG,Worth for money
CG,Very good phone
CG,Awesome product
CG,Value for money
CG,Superb Phone...
CG,Awesome
CG,Awesome
CG,Awesome
CG,Awesome
CG,It’s ok
CG,Amazing
CG,Amazing
CG,Awesome
CG,Awesome
CG,awesome
CG,Excellent
CG,Heating problem
CG,Excellent and quick
CG,Ok
CG,👍👍👍
CG,nice product.. i luv this...
CG,Just awesome
CG,camera quality
CG,Best iPhone till date..
CG,The USB cable is missing in the box
CG,Finally owned a iphone
CG,Amazing product to buy
CG,Charger is not working
CG,Performance is great!!
CG,Battry life rust ha...
CG,This phone is very bad
CG,Excellent bettary life
CG,Camera quality is good
CG,Best worthy investment
CG,Overall gr8 experience
CG,Amazing battery backup
CG,Worst phone i ever had
CG,Best in camera quality
CG,Everything is just fab
CG,Price and product good
CG,Great battery back up.
CG,XR is the best
CG,No comments 🙂
CG,Superrrr phone
OR,Simply awesome
CG,This is osm 👌
CG,Iits good
CG,Superb
CG,Best iphone ever
CG,Awesome products
CG,Amazing
CG,Awesome to have this
CG,Not any lag
CG,Battery life is awesome...
CG,The product came very good
CG,Great purchase
CG,Very nice
CG,Very good
CG,Best iphone ever used
CG,Nice phone best price
CG,Touch pad is too slow
CG,Must buy this product
CG,Awesome phone love it
CG,It’s good but in sale
CG,Not upto expectations
CG,Best phone in iPhones
CG,No fingerprint sensor
CG,Battery life not good
CG,Battery life not good
CG,Everything is perfect
CG,The phone is very osm
CG,Camera quality I like
CG,Apple is always best.
CG,Awesome phone
CG,Amazing phone
CG,Superb camera
CG,Super sa uper
CG,Amazing Phone
CG,Great product
CG,Worth upgrade
CG,Good decision
CG,Awesome phone
CG,Amazing phone
CG,Awesome phone
CG,Good not best
CG,Phone is good
CG,Good quality.
CG,Excellent product
CG,Outstanding 👌👌👌👌👌 iPhone XR  📱
CG,Required fingerprint
CG,Super
CG,V nic
CG,Great
CG,Excellent phone
CG,But display very veek
CG,very nice
CG,Overpriced but good to use
CG,Just love it
CG,Picture quality is very poor. And battery
CG,The phone is great
CG,awesome
CG,Super extra ordinary
CG,all features amazing
CG,Amazing battery life
CG,Battery life so good
CG,Superd mobaile phone
CG,Performance Beast ♥️
CG,Awesome battery life
CG,Superb mobile to use
CG,Good but but heavier
CG,Simply good product.
CG,equipment is supereb
CG,Good phone but not stylish
CG,Superb phone
CG,Good product
CG,Superb color
CG,Good Product
CG,Good product
CG,Nice product
CG,Good product
CG,Overall good
CG,Good product
CG,good product
CG,It is costly
CG,Good product
CG,It was great
CG,Good product
CG,Good product
CG,Good product
CG,Nice product
CG,nice product
CG,Just Amazing
CG,Good product
CG,Best Product
CG,Good product
CG,Awesome 👏🏻
CG,Excellent...
CG,He loves it!
CG,Nice product
CG,Overall Good
CG,Best buy.money worth
CG,Nice
CG,Nice
CG,👍👍
CG,Good
CG,Good
CG,Good
CG,Nice
CG,Nice
CG,good
CG,Good
CG,Good
CG,Good
CG,Good
CG,Best
CG,Like
CG,good
CG,Good
CG,good
CG,Good
CG,nice
CG,Good
CG,Good
CG,Good
CG,Nice
CG,Best
CG,🙏🏼
CG,Good
CG,Nice
CG,Good
CG,Good
CG,Nice
CG,good
CG,Nice
CG,Awsm
CG,Nice
CG,Good
CG,Genuine
CG,Nice
CG,Go for it...
CG,Fantastic & amazing
CG,Staisfied with the purchase
CG,Good
CG,Wow
CG,not bad in this price
CG,Beast iPhone at good price 👌👌👌👌
CG,Amazing product
CG,Lots of bugs
CG,Good product
CG,Good products
CG,Dual sim network issue and it hangs
CG,Phone hitting problems
CG,Amazing phone
CG,All good
CG,I liked the product
CG,Best ever!!!
CG,Excellent phone. Great battery life.
CG,Batter is a concern
CG,Value for money....
CG,Nothing to complain
CG,Adapter is not good
CG,IPhone is damn good
CG,Charger not working
CG,It was a great deal
CG,Very
CG,Best phone in world
CG,Soo much satisfying
CG,Good battery backup
CG,Excellent
CG,Performance
CG,Super Phone
CG,Super duper
CG,Third class
CG,Great phone
CG,bad product
CG,Good mobile
CG,Not working
CG,Really nice
CG,Nyc one ...
CG,Awesome iPhone XR
CG,Top performance. Amazing product.
CG,Nice
CG,It’s just super phone...’’’’
CG,Excellent
CG,Fab
CG,Nic
CG,Great phone
CG,Excellent
CG,Nice product
CG,Really good product.
CG,Excellent Product..
CG,Nice
CG,Nice product
CG,Awesome
CG,Good option to buy
CG,i liked it
CG,Everything is good
CG,Worth the price !!
CG,I like the product
CG,Very good product.
CG,Always low battery
CG,Colour and  design
CG,Very Superb mobile
CG,Good build quality
CG,Best in the market
CG,Amazing Experience
CG,Its a good product
CG,Amazing product...
CG,Extrodinary mobile
CG,Super ultra phone.
CG,U can go fr this..
CG,Good Bettry backup
CG,Looking gregarious
CG,Iphone is the best
CG,iphone is disabled
CG,Good phone
CG,Best phone
CG,Good phone
CG,Xr awesome
CG,Nice deal!
CG,Nice phone
CG,It’s great
CG,Thankfully
CG,Good phone
CG,Perfect 👍
CG,Nice phone
CG,Good phone
CG,Super...👌
CG,Best phone
CG,Nice photo
CG,Good phone
CG,Nice phone
CG,Nice phone
CG,Good Phone
CG,Good phone
CG,Nice phone
CG,Super
CG,Very very bad.....
CG,👌
CG,
CG,ok
CG,Good phone
CG,Ok
CG,A must buy
CG,All good as of now
CG,Apple is apple
CG,Good always
CG,Speaker is causing problem
CG,Good choice
CG,It’s simply great
CG,A quality product
CG,Go for it blindly
CG,Simply the Superb
CG,Quality is superb
CG,All features good
CG,Nothing thus far.
CG,Very good product
CG,Overall it's good
CG,Camera Quality 😍
CG,Loved it 10 stars
CG,Excellent working
CG,Excellent product
CG,Very good quality
CG,Worth every penny
CG,Best worth buy it
CG,Really nice phone
CG,Very nice pls buy
CG,Very good product
CG,Excellent
CG,Its Brand
CG,Expensive
CG,Excellent
CG,Excellent
CG,Very Good
CG,Best one.
CG,I love it
CG,Very nice
CG,Wonderful
CG,Too large
CG,very good
CG,I love it
CG,Excellent
CG,Excellent
CG,Excellent
CG,Perfect
CG,Fantastic
CG,Excellent
CG,My Mobile looks like fake one
CG,Best battery ever
CG,outstanding phone at this range.
CG,Anything u can ever imagine....
CG,Excellent
CG,Fast performance
CG,Good
CG,Excellent
CG,Excellent
CG,Nice
CG,I love this
CG,Super
CG,Awesome Go for it👌🏻
CG,Really Fantastic.
CG,Great product!!!
CG,Fantastic mobile
CG,Good product....
CG,Product was good
CG,Totally awesome!
CG,All over good...
CG,Awesome phone...
CG,Excellent iPhone
CG,Face reader good
CG,Always IOS lover
CG,Best iPhone ever
CG,Best mobile ever
CG,Good for pubg.😋
CG,Much much better
CG,Super phone ❤️❤️
CG,To worest mobile
CG,Best ever iphone
CG,Great experience
CG,Not good battery
CG,Best smartphone.
CG,Excellent camera
CG,Awesome Purchase
CG,Affordable price
CG,Original product
CG,overloaded price
CG,Awesome product.
CG,Loved it
CG,Nice phn
CG,"Awesome,"
CG,All good
CG,Good....
CG,Worth it
CG,No words
CG,Not good
CG,Original product
CG,In love with this phone
CG,Awesome
CG,Good phone
CG,very nice
CG,Best iPhone
CG,Nice experience
CG,Unmatched Performance
CG,Good product in best price...
CG,I like it
CG,very nice
CG,Very good
CG,Just for for it
CG,BEST FONE
CG,Very good and smooth
CG,Gethu
CG,Awesome phone..
CG,Excellent phone
CG,I just loved it
CG,It’s feel good.
CG,Very good phone
CG,Awesome product
CG,Very nice phone
CG,Worth the money
CG,Awesome product
CG,The best iPhone
CG,Good production
CG,Best phone ever
CG,Phone is superb
CG,Best smartphone
CG,Excellent phone
CG,Very nice phone
CG,Amazing product
CG,Best phone ever
CG,Excellent phone
CG,Very good phone
CG,Awesome phone..
CG,Best phone ever
CG,Excellent phone
CG,Love this phone
CG,Good product...
CG,Awesome mobile.
CG,Ok good
CG,Overall good experience
CG,Awesome
CG,Awesome
CG,Good ..
CG,Awesome
CG,Nothing
CG,Awesome
CG,Ok good
CG,Amazing
CG,Awesome
CG,Amazing
CG,Awesome
CG,Not bad
CG,Awesome
CG,All nice perform phone
CG,I LIKED face id
CG,Excellent
CG,Excellent
CG,Best in battery
CG,Good buy
CG,Good
CG,Good product
CG,Camera quality
CG,Great product!
CG,Amazing phone.
CG,Really awesome
CG,Simply awesome
CG,Perfect phone.
CG,Just go for it
CG,Simply awesome
CG,Great phone !!
CG,Product weighg
CG,Awesome mobile
CG,Awesome mobile
CG,Amazing mobile
CG,I love I phone
CG,simply awesome
CG,Nice phone in good budget
CG,😇😇😇😇
CG,Good battery
CG,Good product
CG,Super phone in 1 word
CG,👍👌🤘✌🤟🤞
CG,Nothing
CG,Good phone
CG,Best Product Ever👌
CG,Excellent product though a bit expensive
CG,Awesome phone
CG,Amazing white shade
CG,Good product
CG,Awesome phone
CG,Just fabulous
CG,Charger issue
CG,Amazing phone
CG,Amazing phone
CG,Owsum product
CG,Phone is fine
CG,Just loved it
CG,Awsome mobile
CG,Network issue
CG,So impressive
CG,Awesome phone
CG,Amazing phone
CG,Awesome phone
CG,Awesome phone
CG,Awesome phone
CG,Good quality.
CG,Good Features
CG,Not satisfied
CG,Awesome phone
CG,No fingerprint reader
CG,Vgood
CG,Nice.
CG,good.
CG,Super
CG,G F I
CG,Great
CG,Super
CG,Super
CG,Liked
CG,Super
CG,great phone
CG,Super
CG,Osm...... gaming machine.
CG,Awesome
CG,Excellent product.
CG,Just amazing
CG,Happy shopping
CG,Bakwas
CG,excellent. u will love it
CG,Good
CG,It’s ok product
CG,Looking good
CG,Good
CG,Nice go for it at 50k
CG,Great phone.
CG,Like a pro👍
CG,Nice I phone
CG,Just amazing
CG,nothing much
CG,Works fine..
CG,Good quality
CG,It’s awesome
CG,Battery life
CG,Supper Apple
CG,Nice i phone
CG,Nice product
CG,Superb phone
CG,Poor quality
CG,Good product
CG,Good handset
CG,Nice product
CG,Good product
CG,Nice product
CG,Overall good
CG,Good product
CG,Just awesome
CG,Good product
CG,Nice phone😍
CG,Nice product
CG,Superb phone
CG,Satisfactory
CG,Nice phone😍
CG,Awesome 👍🔥
CG,best product
CG,Good handset
CG,A good phone
CG,Good product
CG,Good Product
CG,Good product
CG,All over gud
CG,Good product
CG,Just awesome
CG,NICE PRODUCT
CG,Good product
CG,Nice product
CG,Nice
CG,Good
CG,Nice
CG,Owsm
CG,Good
CG,Owsm
CG,Good
CG,Good
CG,Nice
CG,Best
CG,Nice
CG,Good
CG,Good
CG,Good
CG,Like
CG,Good
CG,🔥👌
CG,Good
CG,Good
CG,Cool
CG,Good
CG,Good
CG,Nope
CG,Good
CG,Good
CG,Good
CG,Good
CG,Good
CG,good
CG,Good
CG,Good
CG,Good
CG,okok
CG,Best
CG,Best
CG,Good
CG,Good
CG,Good
CG,Good
CG,Good
CG,Love the perfomance
CG,bad n faulty product
CG,Go for it
CG,Perfect one .
CG,Excellent one
CG,Good purchase
CG,Nice
CG,Worthy product
CG,apple product
CG,Best iPhone
CG,Wonderful phone.
CG,Apple always best
CG,Awesome 👏
CG,Best in all.
CG,Cant play pubg properly
CG,Fantabulous
CG,Must buy it
CG,Best iphone
CG,All is good
CG,Magnificent
CG,I like this
CG,great phone
CG,Great phone
CG,Great phone
CG,Awesome one
CG,Always spr.
CG,It was good
CG,Nice mobile
CG,Great phone
CG,Nice mobile
CG,Good enough
CG,Its perfect
CG,Enjoying it
CG,Awsm mobile
CG,Awsm mobile
CG,Really good
CG,Nice camera quality
CG,Battery
CG,Wow
CG,Osm
CG,Wow
CG,Nice and handled
CG,Good budget phone
CG,Superb phone
CG,Good phone. Go for it.
CG,Just awesome
CG,note happy.
CG,Top class mobile
CG,👍🏻
CG,Its amazing
CG,Nice locks
CG,I am happy
CG,Good phone
CG,Cool phone
CG,Good phone
CG,Nice phone
CG,Good Phone
CG,Awesome!!!
CG,Nice phone
CG,Awesome❤❤❤
CG,Nice phone
CG,Nice phone
CG,Nice phone
CG,Good phone
CG,Gud mobile
CG,Best phone
CG,Good phone
CG,Best phone
CG,Nice phone
CG,Good phone
CG,Camera gud
CG,Great deal
CG,Best phone
CG,Super item
CG,Nice phone
CG,best phone
CG,Nice phone
CG,Nice phone
CG,Good phone
CG,Excellent.
CG,Good phone
CG,Awesome...
CG,Very  nice
CG,Good phone
CG,Na
CG,
CG,Ok
CG,Amazing product
CG,Very good phone at price of 38k
CG,Excellent buy
CG,Great buy!
CG,I loved it
CG,Best iPhone
CG,nice phone
CG,All good!!
CG,good battery life
CG,Till now good experience.
CG,Nice pick
CG,Its apple
CG,Excellent
CG,Like this
CG,Interface
CG,I like it
CG,Not worth
CG,Good one.
CG,Very good
CG,Excellent
CG,Excellent
CG,I love it
CG,Excellent
CG,Excellent
CG,Very good
CG,Best deal
CG,Excellent
CG,Excellent
CG,It's good
CG,It's good
CG,Excellent
CG,Satisfied
CG,excellent
CG,Very good
CG,Excellent
CG,Amazing..
CG,Very good
CG,Very good
CG,It’s good
CG,Excellent
CG,Excellent
CG,Excellent
CG,Excellent
CG,Excellent
CG,It’s gooy
CG,Good deal
CG,Excellent
CG,Very nice
CG,Satisfied
CG,Excellent
CG,I love it
CG,Excellent
CG,Excellent
CG,Excellent
CG,Excellent
CG,Good buy.
CG,Overall great product
CG,Loved it
CG,Very good
CG,Nice product
CG,Need invoice soft copy
CG,Worth buying
CG,Love this phone
CG,User friendly
CG,Excellent
CG,Super
CG,Best deal
CG,Simply brilliant!
CG,Very nice colour and features
CG,Fabulous
CG,Exultant
CG,Fabulous
CG,Amazing!
CG,Worth it
CG,good one
CG,All good
CG,Good one
CG,Good one
CG,Dont buy
CG,Fine AF!
CG,Excelent
CG,Good one
CG,Too good
CG,Now good
CG,Good one
CG,Bill is missing
CG,Good
CG,Defected Piece
CG,Best One
CG,Awesome
CG,Bad
CG,Awesome phone
CG,Very nice phone
CG,Good
CG,Outstanding performance
CG,Call quality is worst
CG,Awesome
CG,Super..
CG,Awesome
CG,Awesome
CG,awesome
CG,Awesome
CG,Dhamaka
CG,Goodbye
CG,Nothing
CG,Superbb
CG,Nothing
OR,We went to Marmaris with my wife for a holiday. We chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food. When we first went there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..
OR,During my holiday in Marmaris we ate here to fit the food. It's really good that the food is cheap and nice. Eating as much bread as you want is a big plus for those who are not satisfied without bread. It is a place that I can recommend to those who will go to Marmaris. On July 1 there was a small increase but even the price hike is cheap. I leave the photo of the latest prices and breakfast below. there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..
CG,Prices are very affordable. The menu in the photo cost 108 liras. You have to wait 10-15 minutes for food. Staff is annoying. Well it tastes good. Boiled meat was delicious.
CG,Turkey's cheapest artisan restaurant and its food is delicious!
CG,I don't know what you will look for in terms of price performance point; taste; but yigit restaurant writes a big plus for those who come to work in this region.
CG,Generally good.
CG,What you see is 125 TL in total. It's a pretty convenient place. We can say that it is an artisan restaurant; you should not expect a restaurant; but they are still quite good in terms of price and performance. As of July 1; prices will increase
CG,Delicious food at rock bottom prices. Friendly staff; Highly recommend
CG,"Every time I go, I still experience the amazement I experienced years ago as if it were the first time. There is no need to explain. Folk hero is a business."
CG,The most f/p of all businesses I've seen.
OR,The food was just like the ones my mother made. Prices were reasonable.
OR,The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.
OR,"Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price."
CG,It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.
OR,They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.
CG,It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.
CG,I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.
OR,It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.
CG,Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!
CG,I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.
CG,It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.
CG,The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.
OR,The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.
CG,Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.
CG,Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.
CG,The vegan breakfast made me extremely happy. It was nice.
CG,Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in Datca.
CG,Very enjoyable beautiful place. Pizza salad food taste is great.
CG,Its breakfast is more satisfying than the places around it.
CG,Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.
CG,The food is delicious but a little pricey. The best Cappucino in Datça is here..
CG,It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.
CG,When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.
CG,"It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive."
CG,I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.
CG,quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.
CG,The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.
CG,The staff was very engaged. Service and taste were perfect.
CG,Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.
OR,"It was very expensive, but taste wasn't bad."
CG,Good quality service; nice customer service; they are happy to help with a smile.
CG,Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.
CG,"Nice view, good staff, clean place and nice atmosphere."
CG,Nice food and good service; located just near the beach as well.
CG,It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.
CG,Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.
CG,If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.
CG,I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.
CG,Taste was amazing! Price was not high.
OR,When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.
CG,We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.
CG,The food tastes good. The atmosphere of the place was not very attractive.
CG,We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.
CG,Very cheap and delicious!
OR,Ayran came when the meal was over; the food was very bitter.
CG,Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!
CG,We ordered Etli Ali Nazik Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.
CG,We came because it is a very famous place. They had really delicious food.
CG,Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.
CG,The taste was very good but the prices were also very high.
CG,Located in Gaziantep historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.
CG,I had the chance to taste many flavors; all of them were very good; I was amazed by Ali Nazik Kebab.
CG,The restaurant that made our four-day Gaziantep holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.
CG,"They sold us rotten pistachios, it sucks!"
CG,I don't know why we ate here despite the exorbitant prices. A portion of kebab or sis meat product starts from 220 TL as of the end of June 2023. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.
OR,"A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food."
CG,The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.
CG,The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.
CG,Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.
CG,Hookah and ambiance is super!
CG,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.
CG,Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.
CG,Great.
OR,Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.
CG,A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.
CG,Seaside great view!
CG,Prices are nice
OR,Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..
OR,The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream
CG,Absolutely perfect come try it..
OR,Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.
CG,As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in Fethiye is 6 TL.
CG,The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.
CG,It literally gave me the feeling of chewing sugar. It's not even about ice cream.
CG,We visited with my friends. The lemon one was great!
CG,A great taste. I went on recommendation; it was really true. I also recommend it to you.
CG,Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.
CG,On the way to the city center of Fethiye; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.
CG,The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.
CG,A place that makes unorthodox burgers in Samsun. The hamburger bread is big and wide with lots of sesame seeds.
CG,It's a very nice place; the hamburger is very nice. The staff is very good; there is a children's playground
OR,The place is nice; the waiters work sulkily. The location; service and presentation are beautiful. And his hamburger might be the most mediocre hamburger I've ever had. There is no meat taste in the meatball.
OR,Mushroom burger the meat stays thin inside the huge burger bread; and the meat and mushrooms do not stay in the bread because of the sauce applied on the bread.
CG,They have really saturated menus. The prices are very good; and as a place with a very nice interior and exterior decor with sea views; I would definitely recommend it at the same time.
CG,I never liked the service very bad; when we brought the wrong burger and returned it; we had to wait that much longer. The potatoes were terrible; the only onion rings and mushrooms were beautiful. I will never go to this place again.
OR,The burger is successful; but the service is very slow; I came to the place 2 times; they bring the order incorrectly.
CG,The menu content is beautifully varied and satisfying.
CG,The price was not right; I bought a 2-piece menu; the burger and bread did not taste good.
CG,The prices were generally reasonable; the tastes were also good enough.
OR,The menus offered by the friendly staff are something else; the flavors we have tasted.
OR,"I would like to thank the service in Fethiye branch and especially Mr. Samet; the official here, for his interest and relevance."
CG,The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.
CG,Taste is exactly the same as in classic hamburgers; prices are extra high.
OR,Every time I come to Fethiye; I stop by and fill my stomach with pleasure.
CG,In general; everything was good; but the tables were not collected during the 35-45 minutes I was there. It was messy inside.
CG,The ambiance of the place looks a bit old.
CG,They are very fast and the food tastes good too.
CG,The potatoes were almost dead and tasteless.
CG,I didn't like the gloomy; dark atmosphere of the environment; the toilets are dirty; you are disgusted to wash your hands.
CG,There was a hair in the fries; disgusting.
OR,In terms of price; it is above Marmaris prices. In other words; there are menus with prices above the average. I was satisfied with almost everything I ate and drank.
CG,It is a place where the food is as amazing as the cocktails. The sole fish was very good. employees are very engaged.
OR,"Slagethi all nero was excellent. Beef ribs were always tender enough. Cheek, on the other hand; has preserved its taste even though its collection is a little small. If deterioration was to come; the services were passed and the environment was much expected."
CG,As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.
CG,For people living in Marmaris; it is a beautiful place to visit in summer and winter. I recommend you to try liver because they serve it in a way I have never tried before and because of its amazing taste.
CG,Wonderful place where you can go with your family and have fun; nice place with live music...
CG,Prices were slightly higher than peers.
OR,Pukka is a restaurant by the sea where you will have the most beautiful pictures and videos where you can organize a nice organization in Marmaris.
CG,Great concept and very tasty food.
CG,Popular place for Winter and Summer; food and drink menu wide enough and delicious.
CG,Delicious. However; prices are as high as Marmaris in general in 2021.
CG,The interior design is simple and pleasant; with balconies and upper floors with sea views.
CG,"I can say that my worst flat white experience. ""Would you like milk?"" they said. I drank more milk than coffee."
OR,A great starbucks branch located in Bodrum center / bazaar / port. It's great because the layout; the environment; the place and the service are very successful.
